stock,endDate,totalAssets,totalLiab,totalStockholderEquity,asset_liability_ratio,debt_to_equity_ratio
HBMD,2018-12-31,2266514000.0,1971831000.0,294683000.0,87.0,6.69
HBMD,2017-12-31,1149950000.0,1017697000.0,132253000.0,88.5,7.7
HBMD,2016-12-31,1026957000.0,941167000.0,85790000.0,91.65,10.97
APPS,2020-03-31,184011000.0,106557000.0,77354000.0,57.91,1.38
APPS,2019-03-31,82861000.0,46503000.0,36258000.0,56.12,1.28
APPS,2018-03-31,86607000.0,58935000.0,27572000.0,68.05,2.14
APPS,2017-03-31,107580000.0,45535000.0,61945000.0,42.33,0.74
TH,2019-12-31,600792000.0,477390000.0,123402000.0,79.46,3.87
TH,2018-12-31,565032000.0,216041000.0,348991000.0,38.24,0.62
TH,2017-12-31,363125000.0,338221000.0,24904000.0,93.14,13.58
TH,2016-12-31,424276000.0,113702000.0,310574000.0,26.8,0.37
PLSE,2019-12-31,41915000.0,11178000.0,30737000.0,26.67,0.36
PLSE,2018-12-31,70640000.0,4306000.0,66334000.0,6.1,0.06
PLSE,2017-12-31,49821000.0,3826000.0,45995000.0,7.68,0.08
PLSE,2016-12-31,26314000.0,1016000.0,25298000.0,3.86,0.04
ARE,2019-12-31,18390503000.0,8224025000.0,8865826000.0,44.72,0.93
ARE,2018-12-31,14464956000.0,6570242000.0,7277629000.0,45.42,0.9
ARE,2017-12-31,12103953000.0,5620784000.0,5875280000.0,46.44,0.96
ARE,2016-12-31,10354888000.0,4972610000.0,4678882000.0,48.02,1.06
TCPC,2019-12-31,1722069196.0,945750810.0,776318386.0,54.92,1.22
TCPC,2018-12-31,1659535689.0,829060962.0,830474727.0,49.96,1.0
TCPC,2017-12-31,1629422368.0,758694242.0,870728126.0,46.56,0.87
TCPC,2016-12-31,1387598461.0,596662470.0,790935991.0,43.0,0.75
TVTY,2019-12-31,1625905000.0,1398995000.0,226910000.0,86.04,6.17
TVTY,2018-12-31,482079000.0,113078000.0,369001000.0,23.46,0.31
TVTY,2017-12-31,636163000.0,364210000.0,271953000.0,57.25,1.34
TVTY,2016-12-31,544782000.0,355484000.0,189298000.0,65.25,1.88
LVS,2019-12-31,23199000000.0,16692000000.0,5187000000.0,71.95,3.22
LVS,2018-12-31,22547000000.0,15802000000.0,5684000000.0,70.08,2.78
LVS,2017-12-31,20687000000.0,13060000000.0,6486000000.0,63.13,2.01
LVS,2016-12-31,20469000000.0,12973000000.0,6177000000.0,63.38,2.1
CHK,2019-12-31,16193000000.0,11792000000.0,2733000000.0,72.82,4.31
CHK,2018-12-31,12735000000.0,10602000000.0,421000000.0,83.25,25.18
CHK,2017-12-31,12425000000.0,12797000000.0,-2167000000.0,102.99,-5.91
CHK,2016-12-31,13028000000.0,14231000000.0,-3102000000.0,109.23,-4.59
LGI,2019-12-31,268447462.0,31166038.0,237281424.0,11.61,0.13
LGI,2018-12-31,172021132.0,25821225.0,146199907.0,15.01,0.18
LGI,2017-12-31,214099803.0,23795881.0,190303922.0,11.11,0.13
LGI,2016-12-31,177156477.0,26198239.0,150958238.0,14.79,0.17
